УГРОЗЫ ЗАРАЗНЫХ БОЛЕЗНЕЙ ЖИВОТНЫХ В ЮЖНОМ ФЕДЕРАЛЬНОМ ОКРУГЕ (8 субъектов РФ)
По приказу Минсельхоза РФ №62 от 09.03.2011. Источники: fsvps.gov.ru, mcx.gov.ru, veterinary.arriah.ru, региональные ветуправления (2024-2026)

№;Категория;Болезнь;Вид животных;Этиология;Ростовская обл.;Краснодарский край;Республика Калмыкия;Волгоградская область;Астраханская область;Республика Крым;г. Севастополь;Республика Адыгея
1;Особо опасные болезни;Ящур;КРС, МРС, Свиньи;Вирусная;Средняя;Средняя;Средняя;Низкая;Низкая;Средняя;Низкая;Средняя
2;Особо опасные болезни;АЧС;Свиньи;Вирусная;Высокая;Высокая;Низкая;Высокая;Низкая;Средняя;Низкая;Низкая
3;Особо опасные болезни;Бешенство;Все виды;Вирусная;Высокая;Высокая;Высокая;Высокая;Высокая;Высокая;Средняя;Средняя
4;Особо опасные болезни;Сибирская язва;КРС, МРС, Лошади, Свиньи;Бактериальная;Средняя;Средняя;Средняя;Средняя;Средняя;Низкая;Низкая;Низкая
5;Особо опасные болезни;Блютанг;КРС, МРС;Вирусная;Средняя;Высокая;Средняя;Средняя;Высокая;Средняя;Низкая;Средняя
6;Особо опасные болезни;Заразный узелковый дерматит КРС;КРС;Вирусная;Средняя;Высокая;Низкая;Низкая;Средняя;Средняя;Низкая;Средняя
7;Особо опасные болезни;Высокопатогенный грипп птиц;Птица;Вирусная;Высокая;Высокая;Средняя;Высокая;Высокая;Средняя;Средняя;Средняя
8;Особо опасные болезни;Болезнь Ньюкасла;Птица;Вирусная;Средняя;Средняя;Низкая;Низкая;Средняя;Средняя;Средняя;Средняя
9;Особо опасные болезни;Чума КРС;КРС;Вирусная;Низкая;Низкая;Низкая;Низкая;Низкая;Низкая;Низкая;Низкая
10;Особо опасные болезни;Эмкар;КРС, МРС;Бактериальная;Средняя;Средняя;Средняя;Средняя;Средняя;Средняя;Низкая;Средняя
11;Особо опасные болезни;Классическая чума свиней;Свиньи;Вирусная;Низкая;Низкая;Низкая;Низкая;Низкая;Низкая;Низкая;Низкая
12;Инфекционные болезни;Туберкулёз КРС;КРС, МРС, Птица;Бактериальная;Средняя;Средняя;Низкая;Низкая;Средняя;Средняя;Средняя;Средняя
13;Инфекционные болезни;Бруцеллёз;КРС, МРС, Свиньи;Бактериальная;Высокая;Средняя;Высокая;Высокая;Высокая;Высокая;Средняя;Средняя
14;Инфекционные болезни;Лейкоз КРС;КРС;Вирусная;Высокая;Высокая;Высокая;Высокая;Средняя;Средняя;Средняя;Средняя
